Jul.Day YYYY/MM/DD Wdy USD/XAU USD/XAG USD/XPT USD/CAD USD/EUR USD/JPY USD/GBP USD/CHF USD/AUD USD/HKD USD/NZD USD/KRW USD/MXN
2454103 2007/01/02 Tue 0.0 0.0 0.0 0.85844 1.3287 0.0084162 1.9736 0.82462 0.79586 0.12853 0.70839 0.0010808 0.092798
2454104 2007/01/03 Wed 642.60 12.910 1136.0 0.85477 1.3169 0.0083614 1.9499 0.81537 0.79135 0.12842 0.70510 0.0010796 0.092914
2454105 2007/01/04 Thu 628.70 12.620 1128.0 0.84983 1.3093 0.0083827 1.9442 0.81202 0.78584 0.12839 0.69788 0.0010733 0.092037
2454106 2007/01/05 Fri 609.50 12.700 1120.0 0.85070 1.3004 0.0084185 1.9304 0.80868 0.77958 0.12835 0.68720 0.0010702 0.091195
2454109 2007/01/08 Mon 609.50 12.210 1120.0 0.84911 1.3022 0.0084393 1.9383 0.80920 0.78118 0.12829 0.68795 0.0010656 0.091110
2454110 2007/01/09 Tue 609.60 12.360 1123.0 0.84861 1.2994 0.0083716 1.9398 0.80525 0.77936 0.12824 0.68958 0.0010650 0.090716
2454111 2007/01/10 Wed 608.40 12.450 1143.0 0.84947 1.2939 0.0083656 1.9334 0.80249 0.77659 0.12822 0.68731 0.0010661 0.090724
2454112 2007/01/11 Thu 612.00 12.410 1143.0 0.85020 1.2903 0.0082987 1.9439 0.80105 0.78218 0.12824 0.69265 0.0010653 0.091226
2454113 2007/01/12 Fri 619.75 12.430 1137.0 0.85455 1.2924 0.0083029 1.9568 0.80089 0.78252 0.12822 0.69142 0.0010639 0.091010
2454116 2007/01/15 Mon 627.00 12.885 0.0 0.85609 1.2932 0.0082998 1.9644 0.80147 0.78358 0.12823 0.69455 0.0010658 0.091430
2454117 2007/01/16 Tue 627.05 12.840 0.0 0.85135 1.2916 0.0082887 1.9606 0.80112 0.78273 0.12819 0.69479 0.0010693 0.091010
2454118 2007/01/17 Wed 626.50 12.550 0.0 0.85201 1.2947 0.0082960 1.9721 0.80276 0.78657 0.12813 0.69089 0.0010676 0.091591
2454119 2007/01/18 Thu 635.00 12.840 0.0 0.85092 1.2941 0.0082420 1.9712 0.79986 0.78812 0.12803 0.69444 0.0010679 0.091559
2454120 2007/01/19 Fri 629.00 12.720 0.0 0.85324 1.2968 0.0082491 1.9759 0.80128 0.78925 0.12808 0.69539 0.0010683 0.091809
2454123 2007/01/22 Mon 639.00 12.865 0.0 0.85041 1.2957 0.0082260 1.9771 0.80101 0.78927 0.12824 0.69938 0.0010639 0.091674
2454124 2007/01/23 Tue 642.50 13.090 0.0 0.84631 1.3025 0.0082279 1.9846 0.80611 0.79206 0.12820 0.70210 0.0010638 0.091232
2454125 2007/01/24 Wed 642.10 13.200 0.0 0.84574 1.2962 0.0082798 1.9673 0.80117 0.78163 0.12814 0.69638 0.0010682 0.091340
2454126 2007/01/25 Thu 651.75 13.380 0.0 0.84868 1.2979 0.0082662 1.9705 0.80387 0.77748 0.12810 0.69973 0.0010685 0.090978
2454127 2007/01/26 Fri 645.50 13.220 0.0 0.84760 1.2910 0.0082277 1.9597 0.79776 0.77234 0.12805 0.69503 0.0010629 0.090524
2454130 2007/01/29 Mon 644.75 13.250 0.0 0.84631 1.2947 0.0082092 1.9590 0.79816 0.77251 0.12801 0.69719 0.0010630 0.090132
2454131 2007/01/30 Tue 645.20 13.150 0.0 0.84645 1.2953 0.0082148 1.9616 0.79795 0.77230 0.12804 0.68893 0.0010606 0.090486
2454132 2007/01/31 Wed 650.50 13.360 0.0 0.84803 1.2999 0.0082624 1.9609 0.80190 0.77392 0.12807 0.68538 0.0010617 0.090570
2454133 2007/02/01 Thu 660.20 13.580 0.0 0.85070 1.3021 0.0082867 1.9685 0.80459 0.77448 0.12813 0.68141 0.0010676 0.091025
2454134 2007/02/02 Fri 645.70 13.660 0.0 0.84474 1.2959 0.0082624 1.9664 0.80149 0.77463 0.12809 0.67968 0.0010669 0.090894
2454137 2007/02/05 Mon 649.40 13.290 0.0 0.84617 1.2932 0.0083094 1.9600 0.80115 0.77686 0.12805 0.68353 0.0010687 0.091471
2454138 2007/02/06 Tue 653.25 13.660 0.0 0.84602 1.2969 0.0083088 1.9693 0.80541 0.77682 0.12805 0.67978 0.0010719 0.091540
2454139 2007/02/07 Wed 653.75 13.650 0.0 0.84374 1.3020 0.0082880 1.9699 0.80653 0.77852 0.12799 0.68503 0.0010715 0.091377
2454140 2007/02/08 Thu 656.00 13.530 0.0 0.84367 1.3035 0.0082511 1.9586 0.80174 0.78115 0.12797 0.68632 0.0010698 0.091201
2454141 2007/02/09 Fri 664.50 13.840 0.0 0.85186 1.3004 0.0082239 1.9506 0.80075 0.77647 0.12799 0.68353 0.0010699 0.091234
2454144 2007/02/12 Mon 664.55 13.780 0.0 0.85135 1.2963 0.0082113 1.9473 0.79789 0.77260 0.12797 0.68534 0.0010667 0.090839
2454145 2007/02/13 Tue 667.80 13.790 0.0 0.85572 1.3022 0.0082483 1.9443 0.80070 0.77734 0.12797 0.68877 0.0010645 0.090964
2454146 2007/02/14 Wed 668.25 13.960 0.0 0.85763 1.3125 0.0082779 1.9626 0.80652 0.78336 0.12798 0.69442 0.0010652 0.091595
2454147 2007/02/15 Thu 664.75 13.980 0.0 0.85918 1.3139 0.0083693 1.9529 0.80883 0.78452 0.12806 0.69387 0.0010697 0.091331
2454148 2007/02/16 Fri 665.10 13.900 0.0 0.85933 1.3136 0.0083861 1.9498 0.81026 0.78680 0.12800 0.69752 0.0010681 0.091003
2454151 2007/02/19 Mon 670.75 14.030 0.0 0.85918 1.3145 0.0083598 1.9501 0.81081 0.78623 0.12798 0.70169 0.0010680 0.091073
2454152 2007/02/20 Tue 663.90 13.900 0.0 0.85485 1.3134 0.0083262 1.9548 0.80834 0.78509 0.12797 0.70038 0.0010660 0.091127
2454153 2007/02/21 Wed 661.25 13.740 0.0 0.86118 1.3124 0.0082639 1.9522 0.80684 0.78979 0.12799 0.70608 0.0010653 0.091026
2454154 2007/02/22 Thu 676.60 14.250 0.0 0.86088 1.3134 0.0082429 1.9570 0.80742 0.78952 0.12802 0.70540 0.0010649 0.091081
